step,train_rmse_step,epoch,valid_rmse,valid_loss,train_loss,train_rmse_epoch,test_loss,test_rmse
864,7.911360263824463,50,,,,,,
866,,50,7.708067893981934,59.414310455322266,,,,
866,,50,,,55.393123626708984,7.40346622467041,,
869,8.214348793029785,51,,,,,,
874,8.617889404296875,51,,,,,,
879,6.205613136291504,51,,,,,,
883,,51,7.799522876739502,60.83255386352539,,,,
883,,51,,,55.662044525146484,7.3698625564575195,,
884,7.460491180419922,52,,,,,,
889,8.283692359924316,52,,,,,,
894,8.093451499938965,52,,,,,,
899,8.136225700378418,52,,,,,,
900,,52,7.885958671569824,62.1883430480957,,,,
900,,52,,,55.620609283447266,7.416621208190918,,
904,8.495657920837402,53,,,,,,
909,6.5276641845703125,53,,,,,,
914,7.21922492980957,53,,,,,,
917,,53,8.524590492248535,72.66864013671875,,,,
917,,53,,,54.24604797363281,7.320397853851318,,
919,7.801731109619141,54,,,,,,
924,7.9211106300354,54,,,,,,
929,7.080900192260742,54,,,,,,
934,9.527810096740723,54,,,,,,
934,,54,8.064324378967285,65.03333282470703,,,,
934,,54,,,55.83295440673828,7.4078192710876465,,
939,9.3189058303833,55,,,,,,
944,7.404733180999756,55,,,,,,
949,8.364520072937012,55,,,,,,
951,,55,7.770208835601807,60.37614822387695,,,,
951,,55,,,54.7472038269043,7.333369731903076,,
954,7.951191425323486,56,,,,,,
959,8.176858901977539,56,,,,,,
964,7.691558361053467,56,,,,,,
968,,56,8.700210571289062,75.69366455078125,,,,
968,,56,,,54.6707649230957,7.342455863952637,,
969,7.582640647888184,57,,,,,,
974,6.898992538452148,57,,,,,,
979,7.704611778259277,57,,,,,,
984,7.124232292175293,57,,,,,,
985,,57,7.733370304107666,59.805015563964844,,,,
985,,57,,,55.57064437866211,7.39940071105957,,
989,5.168628215789795,58,,,,,,
994,8.955460548400879,58,,,,,,
999,9.506733894348145,58,,,,,,
1002,,58,7.869811058044434,61.933929443359375,,,,
1002,,58,,,55.140926361083984,7.309755802154541,,
1004,7.121934413909912,59,,,,,,
1009,7.501096725463867,59,,,,,,
1014,6.4891357421875,59,,,,,,
1019,6.24890661239624,59,,,,,,
1019,,59,7.713613033294678,59.49982452392578,,,,
1019,,59,,,54.83896255493164,7.367313861846924,,
1024,7.4673075675964355,60,,,,,,
1029,8.803205490112305,60,,,,,,
1034,8.145047187805176,60,,,,,,
1036,,60,7.901002883911133,62.42584991455078,,,,
1036,,60,,,55.1024169921875,7.368780136108398,,
1039,6.617158889770508,61,,,,,,
1044,7.992096900939941,61,,,,,,
1049,6.285854339599609,61,,,,,,
1053,,61,7.699869155883789,59.287986755371094,,,,
1053,,61,,,56.12495422363281,7.380330562591553,,
1054,8.047916412353516,62,,,,,,
1059,6.814090728759766,62,,,,,,
1064,8.91909408569336,62,,,,,,
1069,8.225273132324219,62,,,,,,
1070,,62,7.6766438484191895,58.93085861206055,,,,
1070,,62,,,55.6324348449707,7.390120029449463,,
1074,7.042677879333496,63,,,,,,
1079,7.96766996383667,63,,,,,,
1084,7.098678112030029,63,,,,,,
1087,,63,8.575769424438477,73.54381561279297,,,,
1087,,63,,,54.79891586303711,7.343593597412109,,
1089,7.119569778442383,64,,,,,,
1094,6.700212478637695,64,,,,,,
1099,8.607597351074219,64,,,,,,
1104,6.071048259735107,64,,,,,,
1104,,64,7.815777778625488,61.08638381958008,,,,
1104,,64,,,56.35544204711914,7.464400768280029,,
1109,7.595182418823242,65,,,,,,
1114,8.455986976623535,65,,,,,,
1119,7.072301387786865,65,,,,,,
1121,,65,7.7619428634643555,60.24775695800781,,,,
1121,,65,,,54.922786712646484,7.366612434387207,,
1124,6.754944801330566,66,,,,,,
1129,7.590830326080322,66,,,,,,
1134,7.438409805297852,66,,,,,,
1138,,66,7.9071736335754395,62.52339553833008,,,,
1138,,66,,,55.57676696777344,7.372934818267822,,
1139,7.857958793640137,67,,,,,,
1144,6.308724880218506,67,,,,,,
1149,5.382201194763184,67,,,,,,
1154,7.257669448852539,67,,,,,,
1155,,67,8.25758171081543,68.18765258789062,,,,
1155,,67,,,55.426883697509766,7.3737921714782715,,
1159,7.605271339416504,68,,,,,,
1164,9.281067848205566,68,,,,,,
1169,5.232027053833008,68,,,,,,
1172,,68,7.67679500579834,58.93317794799805,,,,
1172,,68,,,54.84938049316406,7.3236494064331055,,
1174,6.559516906738281,69,,,,,,
1179,6.583015441894531,69,,,,,,
1184,8.22285270690918,69,,,,,,
1189,6.623038291931152,69,,,,,,
1189,,69,7.755876064300537,60.15361404418945,,,,
1189,,69,,,54.86538314819336,7.344019412994385,,
1194,7.317154884338379,70,,,,,,
1199,7.838695526123047,70,,,,,,
1204,6.648772716522217,70,,,,,,
1206,,70,7.907424449920654,62.52735900878906,,,,
1206,,70,,,54.79423904418945,7.3037824630737305,,
1209,6.7834906578063965,71,,,,,,
1214,7.472808837890625,71,,,,,,
1219,7.415825366973877,71,,,,,,
1223,,71,7.696437358856201,59.23514938354492,,,,
1223,,71,,,55.04766845703125,7.35674524307251,,
1224,7.644853115081787,72,,,,,,
1229,7.678648471832275,72,,,,,,
1234,6.107585906982422,72,,,,,,
1239,8.417431831359863,72,,,,,,
1240,,72,7.897132396697998,62.36469650268555,,,,
1240,,72,,,55.306209564208984,7.39288854598999,,
1244,8.780802726745605,73,,,,,,
1249,5.923022270202637,73,,,,,,
1254,7.82778263092041,73,,,,,,
1257,,73,7.721895694732666,59.62767028808594,,,,
1257,,73,,,54.74177551269531,7.313737869262695,,
1259,7.743905067443848,74,,,,,,
1264,6.332252502441406,74,,,,,,
1269,8.498056411743164,74,,,,,,
1274,5.076732635498047,74,,,,,,
1274,,74,7.6842827796936035,59.04819869995117,,,,
1274,,74,,,55.2943115234375,7.36894416809082,,
1279,7.388847827911377,75,,,,,,
1284,7.3636555671691895,75,,,,,,
1289,5.342820167541504,75,,,,,,
1291,,75,7.7271199226379395,59.7083854675293,,,,
1291,,75,,,55.374359130859375,7.355892181396484,,
1294,6.854784965515137,76,,,,,,
1299,8.381949424743652,76,,,,,,
1304,8.070573806762695,76,,,,,,
1308,,76,8.462966918945312,71.62181091308594,,,,
1308,,76,,,54.544532775878906,7.336920738220215,,
1309,8.196904182434082,77,,,,,,
1314,7.843698501586914,77,,,,,,
1319,7.296436786651611,77,,,,,,
1324,6.265450954437256,77,,,,,,
1325,,77,7.676638126373291,58.93077087402344,,,,
1325,,77,,,54.97368621826172,7.360121726989746,,
1329,6.800143718719482,78,,,,,,
1334,7.151110649108887,78,,,,,,
1339,7.2988810539245605,78,,,,,,
1342,,78,7.851280689239502,61.64260482788086,,,,
1342,,78,,,54.87184143066406,7.3705668449401855,,
1344,7.116654872894287,79,,,,,,
1349,7.085452556610107,79,,,,,,
1354,7.636355876922607,79,,,,,,
1359,10.944803237915039,79,,,,,,
1359,,79,7.989634037017822,63.83425521850586,,,,
1359,,79,,,56.0926399230957,7.418517589569092,,
1364,7.53516149520874,80,,,,,,
1369,8.62656307220459,80,,,,,,
1374,6.692724704742432,80,,,,,,
1376,,80,8.711090087890625,75.88308715820312,,,,
1376,,80,,,55.25572204589844,7.3925957679748535,,
1379,7.104952335357666,81,,,,,,
1384,6.857018947601318,81,,,,,,
1389,7.830848693847656,81,,,,,,
1393,,81,7.686499118804932,59.082271575927734,,,,
1393,,81,,,54.88395309448242,7.378852844238281,,
1394,6.567596912384033,82,,,,,,
1399,6.852279186248779,82,,,,,,
1404,7.494378566741943,82,,,,,,
1409,8.077249526977539,82,,,,,,
1410,,82,9.034650802612305,81.62491607666016,,,,
1410,,82,,,55.384552001953125,7.339319229125977,,
1414,8.757380485534668,83,,,,,,
1419,10.232381820678711,83,,,,,,
1424,6.95371150970459,83,,,,,,
1427,,83,7.94527530670166,63.12739944458008,,,,
1427,,83,,,56.04315948486328,7.369816303253174,,
1429,8.0465726852417,84,,,,,,
1434,8.547135353088379,84,,,,,,
1439,7.071348190307617,84,,,,,,
1444,9.889031410217285,84,,,,,,
1444,,84,8.401384353637695,70.583251953125,,,,
1444,,84,,,54.82896041870117,7.351526737213135,,
1449,10.377036094665527,85,,,,,,
1454,7.589808464050293,85,,,,,,
1459,7.536515712738037,85,,,,,,
1461,,85,7.6813812255859375,59.00361633300781,,,,
1461,,85,,,55.2903938293457,7.356651782989502,,
1464,6.774988174438477,86,,,,,,
1469,8.532675743103027,86,,,,,,
1474,7.600839614868164,86,,,,,,
1478,,86,7.759918689727783,60.21633529663086,,,,
1478,,86,,,55.91053009033203,7.425319671630859,,
1479,9.450953483581543,87,,,,,,
1484,4.846430778503418,87,,,,,,
1489,6.757782936096191,87,,,,,,
1494,6.783173084259033,87,,,,,,
1495,,87,7.7416157722473145,59.932613372802734,,,,
1495,,87,,,55.73493957519531,7.356097221374512,,
1499,7.378935813903809,88,,,,,,
1504,7.660947799682617,88,,,,,,
1509,8.124747276306152,88,,,,,,
1512,,88,8.038909912109375,64.62407684326172,,,,
1512,,88,,,55.57167053222656,7.394142150878906,,
1514,7.3030853271484375,89,,,,,,
1519,5.2458648681640625,89,,,,,,
1524,6.478653907775879,89,,,,,,
1529,7.499433994293213,89,,,,,,
1529,,89,7.678365230560303,58.95729064941406,,,,
1529,,89,,,54.40538024902344,7.288058757781982,,
1534,6.875732421875,90,,,,,,
1539,9.687740325927734,90,,,,,,
1544,7.181370735168457,90,,,,,,
1546,,90,7.694724082946777,59.20878219604492,,,,
1546,,90,,,54.85666275024414,7.272738933563232,,
1549,6.328855037689209,91,,,,,,
1554,8.06910514831543,91,,,,,,
1559,6.611027240753174,91,,,,,,
1563,,91,8.62863826751709,74.4533920288086,,,,
1563,,91,,,54.42048263549805,7.302389144897461,,
1564,8.636544227600098,92,,,,,,
1569,8.452945709228516,92,,,,,,
1574,6.882214546203613,92,,,,,,
1579,8.276597023010254,92,,,,,,
1580,,92,7.746281147003174,60.00487518310547,,,,
1580,,92,,,54.93425750732422,7.318079948425293,,
1584,6.98451042175293,93,,,,,,
1589,6.29024600982666,93,,,,,,
1594,7.051077842712402,93,,,,,,
1597,,93,7.701016426086426,59.3056526184082,,,,
1597,,93,,,55.084110260009766,7.328814506530762,,
1599,6.877455711364746,94,,,,,,
1604,6.915024757385254,94,,,,,,
1609,7.550210475921631,94,,,,,,
1614,6.20455265045166,94,,,,,,
1614,,94,7.677613258361816,58.945743560791016,,,,
1614,,94,,,54.54515075683594,7.349132537841797,,
1619,6.596870422363281,95,,,,,,
1624,7.383496284484863,95,,,,,,
1629,6.9258246421813965,95,,,,,,
1631,,95,7.787134647369385,60.639469146728516,,,,
1631,,95,,,54.31425094604492,7.290407657623291,,
1634,8.068954467773438,96,,,,,,
1639,8.352835655212402,96,,,,,,
1644,7.604771137237549,96,,,,,,
1648,,96,7.9537858963012695,63.2627067565918,,,,
1648,,96,,,54.38671112060547,7.3264479637146,,
1649,8.24644660949707,97,,,,,,
1654,7.819240570068359,97,,,,,,
1659,6.591955184936523,97,,,,,,
1664,10.307406425476074,97,,,,,,
1665,,97,7.677316665649414,58.94118881225586,,,,
1665,,97,,,55.155174255371094,7.345357418060303,,
1669,7.811252117156982,98,,,,,,
1674,6.83202600479126,98,,,,,,
1679,6.723866939544678,98,,,,,,
1682,,98,7.801335334777832,60.860836029052734,,,,
1682,,98,,,56.413597106933594,7.433439254760742,,
1684,5.666405200958252,99,,,,,,
1689,7.405702114105225,99,,,,,,
1694,6.947402000427246,99,,,,,,
1699,9.61001968383789,99,,,,,,
1699,,99,8.790019035339355,77.26444244384766,,,,
1699,,99,,,54.0185546875,7.28411340713501,,
1700,,100,,,,,70.7843017578125,8.41334056854248
